func	kind	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	Dense	float	1000	1000	0.00698812	0.2862
matvec(Dense)	Dense	float	2000	2000	0.000597788	13.3827
matvec(Dense)	Dense	float	3000	3000	0.000818064	22.0032
matvec(Dense)	Dense	float	4000	4000	0.00136364	23.4666
matvec(Dense)	Dense	float	5000	5000	0.00156582	31.9321
matvec(Dense)	Dense	float	6000	6000	0.00200185	35.9668
matvec(Dense)	Dense	float	7000	7000	0.0024613	39.8164
matvec(Dense)	Dense	float	8000	8000	0.00312176	41.0025
matvec(Dense)	Dense	float	9000	9000	0.00394467	41.0681
matvec(Dense)	Dense	float	10000	10000	0.00459083	43.5651
matvec(Dense)	Dense	double	1000	1000	0.000511534	3.90981
matvec(Dense)	Dense	double	2000	2000	0.000781222	10.2404
matvec(Dense)	Dense	double	3000	3000	0.00117524	15.316
matvec(Dense)	Dense	double	4000	4000	0.00178442	17.933
matvec(Dense)	Dense	double	5000	5000	0.00246729	20.2652
matvec(Dense)	Dense	double	6000	6000	0.00344269	20.9139
matvec(Dense)	Dense	double	7000	7000	0.00454801	21.5479
matvec(Dense)	Dense	double	8000	8000	0.00572256	22.3676
matvec(Dense)	Dense	double	9000	9000	0.00720441	22.4862
matvec(Dense)	Dense	double	10000	10000	0.00873142	22.9058
