func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_add(Dense,Dense,Dense)	Dense	float	1000	1000	0.00019152	5.22137	62.6565
mm_add(Dense,Dense,Dense)	Dense	float	2000	2000	0.000576591	6.93733	83.2479
mm_add(Dense,Dense,Dense)	Dense	float	3000	3000	0.00130805	6.88048	82.5658
mm_add(Dense,Dense,Dense)	Dense	float	4000	4000	0.00199537	8.01857	96.2229
mm_add(Dense,Dense,Dense)	Dense	float	5000	5000	0.00320766	7.79384	93.5261
mm_add(Dense,Dense,Dense)	Dense	float	6000	6000	0.00457676	7.86582	94.3898
mm_add(Dense,Dense,Dense)	Dense	float	7000	7000	0.0061586	7.95635	95.4762
mm_add(Dense,Dense,Dense)	Dense	float	8000	8000	0.00796521	8.03494	96.4193
mm_add(Dense,Dense,Dense)	Dense	float	9000	9000	0.0100306	8.0753	96.9036
mm_add(Dense,Dense,Dense)	Dense	float	10000	10000	0.0123228	8.11504	97.3805
mm_add(Dense,Dense,Dense)	Dense	double	1000	1000	0.000314066	3.18405	76.4171
mm_add(Dense,Dense,Dense)	Dense	double	2000	2000	0.00103724	3.85639	92.5534
mm_add(Dense,Dense,Dense)	Dense	double	3000	3000	0.0022571	3.98742	95.698
mm_add(Dense,Dense,Dense)	Dense	double	4000	4000	0.00410635	3.8964	93.5137
mm_add(Dense,Dense,Dense)	Dense	double	5000	5000	0.00624652	4.00223	96.0535
mm_add(Dense,Dense,Dense)	Dense	double	6000	6000	0.00890717	4.04169	97.0005
mm_add(Dense,Dense,Dense)	Dense	double	7000	7000	0.0120457	4.06783	97.628
mm_add(Dense,Dense,Dense)	Dense	double	8000	8000	0.0156316	4.09426	98.2623
mm_add(Dense,Dense,Dense)	Dense	double	9000	9000	0.0197288	4.10567	98.536
mm_add(Dense,Dense,Dense)	Dense	double	10000	10000	0.0243045	4.11446	98.747
