func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
tanh	vector	float	1000	2.65539e-05	0.0376593	0.301274
tanh	vector	float	10000	3.99796e-05	0.250127	2.00102
tanh	vector	float	100000	5.31739e-05	1.88062	15.045
tanh	vector	float	1000000	0.000280581	3.56403	28.5122
tanh	vector	float	10000000	0.0015766	6.34277	50.7421
tanh	vector	float	100000000	0.0109582	9.12557	73.0045
tanh	vector	double	1000	6.15502e-05	0.0162469	0.259951
tanh	vector	double	10000	6.96392e-05	0.143597	2.29756
tanh	vector	double	100000	0.000130929	0.763773	12.2204
tanh	vector	double	1000000	0.000556668	1.7964	28.7425
tanh	vector	double	10000000	0.00411724	2.42881	38.861
tanh	vector	double	100000000	0.0386325	2.58849	41.4159
