func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpy	vector	float	1000	0.000226599	0.00882618	0.0529571
axpy	vector	float	10000	0.000262273	0.0762564	0.457538
axpy	vector	float	100000	0.000259583	0.770466	4.6228
axpy	vector	float	1000000	0.000670744	2.98176	17.8906
axpy	vector	float	10000000	0.00189417	10.5587	63.3522
axpy	vector	float	100000000	0.0129164	15.4842	92.9052
axpy	vector	double	1000	0.000474825	0.00421208	0.050545
axpy	vector	double	10000	0.000472745	0.0423061	0.507674
axpy	vector	double	100000	0.000576694	0.346805	4.16165
axpy	vector	double	1000000	0.00129209	1.54788	18.5746
axpy	vector	double	10000000	0.00310398	6.44334	77.32
axpy	vector	double	100000000	0.0249748	8.00808	96.097
