func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_pow(Dense,Dense,Dense)	Dense	float	1000	1000	0.00274753	0.363963	4.36756
mm_pow(Dense,Dense,Dense)	Dense	float	2000	2000	0.00807812	0.495165	5.94198
mm_pow(Dense,Dense,Dense)	Dense	float	3000	3000	0.0145126	0.62015	7.4418
mm_pow(Dense,Dense,Dense)	Dense	float	4000	4000	0.0253577	0.630972	7.57166
mm_pow(Dense,Dense,Dense)	Dense	float	5000	5000	0.041133	0.607784	7.29341
mm_pow(Dense,Dense,Dense)	Dense	float	6000	6000	0.0527728	0.68217	8.18604
mm_pow(Dense,Dense,Dense)	Dense	float	7000	7000	0.0712709	0.687518	8.25021
mm_pow(Dense,Dense,Dense)	Dense	float	8000	8000	0.095199	0.672276	8.06732
mm_pow(Dense,Dense,Dense)	Dense	float	9000	9000	0.118284	0.684791	8.21749
mm_pow(Dense,Dense,Dense)	Dense	float	10000	10000	0.14639	0.683109	8.19731
mm_pow(Dense,Dense,Dense)	Dense	double	1000	1000	0.00244031	0.409784	9.83482
mm_pow(Dense,Dense,Dense)	Dense	double	2000	2000	0.00801642	0.498976	11.9754
mm_pow(Dense,Dense,Dense)	Dense	double	3000	3000	0.0185694	0.484669	11.6321
mm_pow(Dense,Dense,Dense)	Dense	double	4000	4000	0.0370433	0.431927	10.3663
mm_pow(Dense,Dense,Dense)	Dense	double	5000	5000	0.0460153	0.543298	13.0391
mm_pow(Dense,Dense,Dense)	Dense	double	6000	6000	0.0854938	0.421083	10.106
mm_pow(Dense,Dense,Dense)	Dense	double	7000	7000	0.0929403	0.52722	12.6533
mm_pow(Dense,Dense,Dense)	Dense	double	8000	8000	0.122618	0.521945	12.5267
mm_pow(Dense,Dense,Dense)	Dense	double	9000	9000	0.147131	0.55053	13.2127
mm_pow(Dense,Dense,Dense)	Dense	double	10000	10000	0.182011	0.549417	13.186
