func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_pow(CRS,CRS)	CRS	float	10000	10000	0.00160101	1.01186	4.04743
sm_pow(CRS,CRS)	CRS	float	20000	20000	0.00180558	1.79444	7.17776
sm_pow(CRS,CRS)	CRS	float	30000	30000	0.0027471	1.76914	7.07654
sm_pow(CRS,CRS)	CRS	float	40000	40000	0.00363274	1.78378	7.1351
sm_pow(CRS,CRS)	CRS	float	50000	50000	0.00451921	1.79235	7.16939
sm_pow(CRS,CRS)	CRS	float	60000	60000	0.00544009	1.78673	7.14694
sm_pow(CRS,CRS)	CRS	float	70000	70000	0.00641696	1.76719	7.06876
sm_pow(CRS,CRS)	CRS	float	80000	80000	0.00722885	1.79282	7.17127
sm_pow(CRS,CRS)	CRS	float	90000	90000	0.00821982	1.77376	7.09505
sm_pow(CRS,CRS)	CRS	float	100000	100000	0.00923522	1.75415	7.01662
sm_pow(CRS,CRS)	CRS	double	10000	10000	0.00152595	1.06163	8.49304
sm_pow(CRS,CRS)	CRS	double	20000	20000	0.00327205	0.990206	7.92165
sm_pow(CRS,CRS)	CRS	double	30000	30000	0.0049173	0.988347	7.90678
sm_pow(CRS,CRS)	CRS	double	40000	40000	0.00675169	0.959759	7.67808
sm_pow(CRS,CRS)	CRS	double	50000	50000	0.00887472	0.912705	7.30164
sm_pow(CRS,CRS)	CRS	double	60000	60000	0.00805729	1.20636	9.65089
sm_pow(CRS,CRS)	CRS	double	70000	70000	0.0185493	0.611344	4.89075
sm_pow(CRS,CRS)	CRS	double	80000	80000	0.0194869	0.665063	5.3205
sm_pow(CRS,CRS)	CRS	double	90000	90000	0.0238454	0.611439	4.89151
sm_pow(CRS,CRS)	CRS	double	100000	100000	0.0248763	0.651222	5.20977
