func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
tan	vector	float	1000	2.99916e-05	0.0333426	0.266741
tan	vector	float	10000	3.66684e-05	0.272714	2.18172
tan	vector	float	100000	6.14193e-05	1.62815	13.0252
tan	vector	float	1000000	0.000312423	3.20079	25.6063
tan	vector	float	10000000	0.00201458	4.96383	39.7106
tan	vector	float	100000000	0.0151186	6.61436	52.9149
tan	vector	double	1000	5.91183e-05	0.0169152	0.270644
tan	vector	double	10000	5.4013e-05	0.185141	2.96225
tan	vector	double	100000	0.000194873	0.513156	8.2105
tan	vector	double	1000000	0.000953055	1.04926	16.7881
tan	vector	double	10000000	0.00718436	1.39191	22.2706
tan	vector	double	100000000	0.0694307	1.44028	23.0446
