func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tan(Dense)	Dense	float	1000	1000	0.00113412	0.881744
m_tan(Dense)	Dense	float	2000	2000	0.00137889	2.90088
m_tan(Dense)	Dense	float	3000	3000	0.00401116	2.24374
m_tan(Dense)	Dense	float	4000	4000	0.00559283	2.86081
m_tan(Dense)	Dense	float	5000	5000	0.0122318	2.04385
m_tan(Dense)	Dense	float	6000	6000	0.01751	2.05597
m_tan(Dense)	Dense	float	7000	7000	0.0195522	2.50612
m_tan(Dense)	Dense	float	8000	8000	0.0237918	2.69001
m_tan(Dense)	Dense	float	9000	9000	0.0293679	2.75811
m_tan(Dense)	Dense	float	10000	10000	0.0349579	2.86058
m_tan(Dense)	Dense	double	1000	1000	0.00106898	0.935475
m_tan(Dense)	Dense	double	2000	2000	0.00439303	0.910533
m_tan(Dense)	Dense	double	3000	3000	0.0116911	0.769813
m_tan(Dense)	Dense	double	4000	4000	0.017899	0.893905
m_tan(Dense)	Dense	double	5000	5000	0.0271997	0.919127
m_tan(Dense)	Dense	double	6000	6000	0.0433318	0.830799
m_tan(Dense)	Dense	double	7000	7000	0.0545568	0.898147
m_tan(Dense)	Dense	double	8000	8000	0.0522338	1.22526
m_tan(Dense)	Dense	double	9000	9000	0.0587028	1.37983
m_tan(Dense)	Dense	double	10000	10000	0.0892893	1.11995
