func	kind	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	Dense	float	1000	1000	0.000781215	2.56011
matvec(Dense)	Dense	float	2000	2000	0.00012185	65.6547
matvec(Dense)	Dense	float	3000	3000	0.00026958	66.7705
matvec(Dense)	Dense	float	4000	4000	0.00368939	8.67353
matvec(Dense)	Dense	float	5000	5000	0.00592102	8.44449
matvec(Dense)	Dense	float	6000	6000	0.0110291	6.52816
matvec(Dense)	Dense	float	7000	7000	0.0157344	6.22837
matvec(Dense)	Dense	float	8000	8000	0.0287029	4.45949
matvec(Dense)	Dense	float	9000	9000	0.0176732	9.1664
matvec(Dense)	Dense	float	10000	10000	0.0432486	4.62442
matvec(Dense)	Dense	double	1000	1000	0.000133304	15.0033
matvec(Dense)	Dense	double	2000	2000	0.00238936	3.34818
matvec(Dense)	Dense	double	3000	3000	0.00954362	1.88608
matvec(Dense)	Dense	double	4000	4000	0.0047275	6.7689
matvec(Dense)	Dense	double	5000	5000	0.00658087	7.59778
matvec(Dense)	Dense	double	6000	6000	0.0332981	2.16228
matvec(Dense)	Dense	double	7000	7000	0.0202353	4.84301
matvec(Dense)	Dense	double	8000	8000	0.0403995	3.16835
matvec(Dense)	Dense	double	9000	9000	0.0402868	4.02117
matvec(Dense)	Dense	double	10000	10000	0.0509517	3.92529
