func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_sub	vector	float	1000	4.84717e-05	0.0206306	0.165045
sv_sub	vector	float	10000	1.12209e-05	0.891197	7.12957
sv_sub	vector	float	100000	1.15644e-05	8.64723	69.1778
sv_sub	vector	float	1000000	4.59482e-05	21.7636	174.109
sv_sub	vector	float	10000000	0.0060027	1.66592	13.3273
sv_sub	vector	float	100000000	0.0647411	1.54461	12.3569
sv_sub	vector	double	1000	1.61498e-05	0.0619204	0.990726
sv_sub	vector	double	10000	1.14108e-05	0.87636	14.0218
sv_sub	vector	double	100000	1.45207e-05	6.8867	110.187
sv_sub	vector	double	1000000	8.03585e-05	12.4442	199.108
sv_sub	vector	double	10000000	0.0139955	0.714515	11.4322
sv_sub	vector	double	100000000	0.121582	0.822493	13.1599
