func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
xpay	float	1000	0.000929707	0.00322682	0.00860486
xpay	float	10000	0.000973162	0.0308274	0.0822063
xpay	float	100000	0.0013864	0.216388	0.577035
xpay	float	1000000	0.00534731	0.561029	1.49608
xpay	float	10000000	0.0381807	0.785736	2.0953
xpay	float	100000000	0.392192	0.764932	2.03982
xpay	double	1000	0.000731037	0.00410376	0.0218867
xpay	double	10000	0.000769138	0.0390047	0.208025
xpay	double	100000	0.00117987	0.254266	1.35609
xpay	double	1000000	0.00478171	0.62739	3.34608
xpay	double	10000000	0.0415036	0.72283	3.85509
xpay	double	100000000	0.418365	0.717078	3.82442
