func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpy	float	1000	2.804e-07	7.13267	42.796	
axpy	float	10000	3.5262e-06	5.67183	34.031	
axpy	float	100000	1.01821e-05	19.6423	117.854	
axpy	float	1000000	3.30865e-05	60.4476	362.686	
axpy	float	10000000	0.00767176	2.60696	15.6418	
axpy	float	100000000	0.0327322	6.11018	36.6611	
axpy	double	1000	4.904e-07	4.0783	48.9396	
axpy	double	10000	7.7526e-06	2.57978	30.9574	
axpy	double	100000	1.18186e-05	16.9225	203.07	
axpy	double	1000000	5.90469e-05	33.8714	406.457	
axpy	double	10000000	0.00449109	4.45326	53.4392	
axpy	double	100000000	0.0577617	3.4625	41.55	
