func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00139567	0.716502	
m_tanh(Dense)	float	2000	2000	0.00427679	0.935282	
m_tanh(Dense)	float	3000	3000	0.00948172	0.949194	
m_tanh(Dense)	float	4000	4000	0.0170598	0.937875	
m_tanh(Dense)	float	5000	5000	0.0264518	0.945114	
m_tanh(Dense)	float	6000	6000	0.0376802	0.95541	
m_tanh(Dense)	float	7000	7000	0.0510877	0.959136	
m_tanh(Dense)	float	8000	8000	0.0665653	0.961463	
m_tanh(Dense)	float	9000	9000	0.0844483	0.959167	
m_tanh(Dense)	float	10000	10000	0.104015	0.961397	
m_tanh(Dense)	double	1000	1000	0.00299956	0.333382	
m_tanh(Dense)	double	2000	2000	0.0119719	0.334116	
m_tanh(Dense)	double	3000	3000	0.0271254	0.331792	
m_tanh(Dense)	double	4000	4000	0.0482261	0.33177	
m_tanh(Dense)	double	5000	5000	0.0755511	0.330902	
m_tanh(Dense)	double	6000	6000	0.108814	0.330841	
m_tanh(Dense)	double	7000	7000	0.148277	0.330462	
m_tanh(Dense)	double	8000	8000	0.193877	0.330106	
m_tanh(Dense)	double	9000	9000	0.246141	0.32908	
