func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sin(Dense)	Dense	float	1000	1000	0.0002564	3.90015
m_sin(Dense)	Dense	float	2000	2000	0.00126883	3.15251
m_sin(Dense)	Dense	float	3000	3000	0.00319403	2.81776
m_sin(Dense)	Dense	float	4000	4000	0.00556376	2.87575
m_sin(Dense)	Dense	float	5000	5000	0.00865438	2.88871
m_sin(Dense)	Dense	float	6000	6000	0.0124425	2.89332
m_sin(Dense)	Dense	float	7000	7000	0.0169122	2.89731
m_sin(Dense)	Dense	float	8000	8000	0.0227093	2.81823
m_sin(Dense)	Dense	float	9000	9000	0.0283303	2.85913
m_sin(Dense)	Dense	float	10000	10000	0.035702	2.80096
m_sin(Dense)	Dense	double	1000	1000	0.000466311	2.14449
m_sin(Dense)	Dense	double	2000	2000	0.00281824	1.41932
m_sin(Dense)	Dense	double	3000	3000	0.00624444	1.44128
m_sin(Dense)	Dense	double	4000	4000	0.0110662	1.44585
m_sin(Dense)	Dense	double	5000	5000	0.0171784	1.45532
m_sin(Dense)	Dense	double	6000	6000	0.0247605	1.45393
m_sin(Dense)	Dense	double	7000	7000	0.0348002	1.40804
m_sin(Dense)	Dense	double	8000	8000	0.0462937	1.38248
m_sin(Dense)	Dense	double	9000	9000	0.0589488	1.37407
m_sin(Dense)	Dense	double	10000	10000	0.0730308	1.36929
