func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_sub	vector	float	1000	2.95663e-06	0.338223	2.70578
sv_sub	vector	float	10000	2.67263e-06	3.74163	29.933
sv_sub	vector	float	100000	4.41633e-06	22.6432	181.146
sv_sub	vector	float	1000000	3.8485e-05	25.9841	207.873
sv_sub	vector	float	10000000	0.00397092	2.51831	20.1465
sv_sub	vector	float	100000000	0.0411895	2.4278	19.4224
sv_sub	vector	double	1000	2.80997e-06	0.355876	5.69402
sv_sub	vector	double	10000	2.9892e-06	3.34538	53.526
sv_sub	vector	double	100000	6.05293e-06	16.5209	264.335
sv_sub	vector	double	1000000	0.000693108	1.44278	23.0844
sv_sub	vector	double	10000000	0.00788401	1.26839	20.2942
sv_sub	vector	double	100000000	0.0822902	1.21521	19.4434
