func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(CRS,CRS,CRS)	CRS	float	10000	10000	0.000352636	4.59398	27.5639
matadd(CRS,CRS,CRS)	CRS	float	20000	20000	0.000605965	5.34684	32.0811
matadd(CRS,CRS,CRS)	CRS	float	30000	30000	0.000819616	5.9296	35.5776
matadd(CRS,CRS,CRS)	CRS	float	40000	40000	0.000997174	6.49836	38.9902
matadd(CRS,CRS,CRS)	CRS	float	50000	50000	0.00119245	6.79273	40.7564
matadd(CRS,CRS,CRS)	CRS	float	60000	60000	0.00139118	6.98686	41.9212
matadd(CRS,CRS,CRS)	CRS	float	70000	70000	0.0015953	7.10836	42.6502
matadd(CRS,CRS,CRS)	CRS	float	80000	80000	0.00179509	7.21969	43.3181
matadd(CRS,CRS,CRS)	CRS	float	90000	90000	0.00199298	7.31568	43.8941
matadd(CRS,CRS,CRS)	CRS	float	100000	100000	0.00219108	7.39363	44.3618
matadd(CRS,CRS,CRS)	CRS	double	10000	10000	0.000578613	2.7998	33.5976
matadd(CRS,CRS,CRS)	CRS	double	20000	20000	0.000985297	3.28835	39.4602
matadd(CRS,CRS,CRS)	CRS	double	30000	30000	0.00141557	3.43325	41.199
matadd(CRS,CRS,CRS)	CRS	double	40000	40000	0.00178054	3.63935	43.6722
matadd(CRS,CRS,CRS)	CRS	double	50000	50000	0.00220316	3.67655	44.1185
matadd(CRS,CRS,CRS)	CRS	double	60000	60000	0.00259055	3.7521	45.0252
matadd(CRS,CRS,CRS)	CRS	double	70000	70000	0.00297432	3.81264	45.7516
matadd(CRS,CRS,CRS)	CRS	double	80000	80000	0.00338062	3.83361	46.0034
matadd(CRS,CRS,CRS)	CRS	double	90000	90000	0.00375169	3.88625	46.635
matadd(CRS,CRS,CRS)	CRS	double	100000	100000	0.00415944	3.89476	46.7371
