func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_asin(CRS)	CRS	float	10000	10000	0.000314562	2.57501
m_asin(CRS)	CRS	float	20000	20000	0.000569077	2.84672
m_asin(CRS)	CRS	float	30000	30000	0.000824583	2.94694
m_asin(CRS)	CRS	float	40000	40000	0.00108191	2.99469
m_asin(CRS)	CRS	float	50000	50000	0.00133669	3.02987
m_asin(CRS)	CRS	float	60000	60000	0.00159046	3.05572
m_asin(CRS)	CRS	float	70000	70000	0.00184576	3.07191
m_asin(CRS)	CRS	float	80000	80000	0.00210139	3.08368
m_asin(CRS)	CRS	float	90000	90000	0.00235618	3.09399
m_asin(CRS)	CRS	float	100000	100000	0.00261245	3.10054
m_asin(CRS)	CRS	double	10000	10000	0.00118181	0.685388
m_asin(CRS)	CRS	double	20000	20000	0.0023017	0.703826
m_asin(CRS)	CRS	double	30000	30000	0.00341919	0.710696
m_asin(CRS)	CRS	double	40000	40000	0.00453623	0.714249
m_asin(CRS)	CRS	double	50000	50000	0.00569078	0.711678
m_asin(CRS)	CRS	double	60000	60000	0.00684833	0.709662
m_asin(CRS)	CRS	double	70000	70000	0.00800063	0.708694
m_asin(CRS)	CRS	double	80000	80000	0.00912659	0.710013
m_asin(CRS)	CRS	double	90000	90000	0.010255	0.710871
m_asin(CRS)	CRS	double	100000	100000	0.0113474	0.713817
