func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_atanh(CRS)	CRS	float	10000	10000	0.00449799	0.18008
m_atanh(CRS)	CRS	float	20000	20000	0.00693836	0.233485
m_atanh(CRS)	CRS	float	30000	30000	0.0103298	0.235243
m_atanh(CRS)	CRS	float	40000	40000	0.0135792	0.2386
m_atanh(CRS)	CRS	float	50000	50000	0.0139837	0.289623
m_atanh(CRS)	CRS	float	60000	60000	0.0209076	0.232451
m_atanh(CRS)	CRS	float	70000	70000	0.0196627	0.288363
m_atanh(CRS)	CRS	float	80000	80000	0.0218837	0.29611
m_atanh(CRS)	CRS	float	90000	90000	0.0277674	0.262538
m_atanh(CRS)	CRS	float	100000	100000	0.0290179	0.279138
m_atanh(CRS)	CRS	double	10000	10000	0.00381722	0.212196
m_atanh(CRS)	CRS	double	20000	20000	0.00762893	0.212349
m_atanh(CRS)	CRS	double	30000	30000	0.00925929	0.262439
m_atanh(CRS)	CRS	double	40000	40000	0.0118629	0.273121
m_atanh(CRS)	CRS	double	50000	50000	0.0188076	0.215338
m_atanh(CRS)	CRS	double	60000	60000	0.0190782	0.254741
m_atanh(CRS)	CRS	double	70000	70000	0.0198195	0.286082
m_atanh(CRS)	CRS	double	80000	80000	0.0220876	0.293378
m_atanh(CRS)	CRS	double	90000	90000	0.0261617	0.278651
m_atanh(CRS)	CRS	double	100000	100000	0.0307524	0.263394
