func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sinh(Dense)	Dense	float	1000	1000	0.00166924	0.599074
m_sinh(Dense)	Dense	float	2000	2000	0.00195356	2.04755
m_sinh(Dense)	Dense	float	3000	3000	0.00425993	2.11271
m_sinh(Dense)	Dense	float	4000	4000	0.00701694	2.2802
m_sinh(Dense)	Dense	float	5000	5000	0.00957618	2.61065
m_sinh(Dense)	Dense	float	6000	6000	0.0135229	2.66215
m_sinh(Dense)	Dense	float	7000	7000	0.018941	2.58698
m_sinh(Dense)	Dense	float	8000	8000	0.0250771	2.55213
m_sinh(Dense)	Dense	float	9000	9000	0.0454124	1.78365
m_sinh(Dense)	Dense	float	10000	10000	0.0438142	2.28236
m_sinh(Dense)	Dense	double	1000	1000	0.00107427	0.930867
m_sinh(Dense)	Dense	double	2000	2000	0.00295986	1.35141
m_sinh(Dense)	Dense	double	3000	3000	0.00727519	1.23708
m_sinh(Dense)	Dense	double	4000	4000	0.012881	1.24214
m_sinh(Dense)	Dense	double	5000	5000	0.0229867	1.08759
m_sinh(Dense)	Dense	double	6000	6000	0.0270033	1.33317
m_sinh(Dense)	Dense	double	7000	7000	0.0407405	1.20274
m_sinh(Dense)	Dense	double	8000	8000	0.0531448	1.20426
m_sinh(Dense)	Dense	double	9000	9000	0.0612645	1.32214
m_sinh(Dense)	Dense	double	10000	10000	0.0685966	1.4578
