func	kind	prec	M	N	time[sec]	perf[GFLOPS]
matvec(CRS)	CRS	float	10000	10000	0.00126924	1.27635
matvec(CRS)	CRS	float	20000	20000	0.00039645	8.17253
matvec(CRS)	CRS	float	30000	30000	0.00544043	0.893312
matvec(CRS)	CRS	float	40000	40000	0.00713903	0.907687
matvec(CRS)	CRS	float	50000	50000	0.00945845	0.856377
matvec(CRS)	CRS	float	60000	60000	0.0102361	0.949581
matvec(CRS)	CRS	float	70000	70000	0.00875268	1.2956
matvec(CRS)	CRS	float	80000	80000	0.00932708	1.3895
matvec(CRS)	CRS	float	90000	90000	0.0113698	1.28234
matvec(CRS)	CRS	float	100000	100000	0.00505261	3.20627
matvec(CRS)	CRS	double	10000	10000	0.000367093	4.41305
matvec(CRS)	CRS	double	20000	20000	0.00284323	1.13955
matvec(CRS)	CRS	double	30000	30000	0.00860968	0.564481
matvec(CRS)	CRS	double	40000	40000	0.0105397	0.614817
matvec(CRS)	CRS	double	50000	50000	0.0118528	0.683382
matvec(CRS)	CRS	double	60000	60000	0.00581596	1.67126
matvec(CRS)	CRS	double	70000	70000	0.0088546	1.28069
matvec(CRS)	CRS	double	80000	80000	0.0121013	1.07096
matvec(CRS)	CRS	double	90000	90000	0.0120158	1.2134
matvec(CRS)	CRS	double	100000	100000	0.0212308	0.763043
