func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
ceil	vector	float	1000	2.89514e-05	0.0345407	0.276325
ceil	vector	float	10000	3.62666e-05	0.275736	2.20589
ceil	vector	float	100000	4.86664e-05	2.0548	16.4384
ceil	vector	float	1000000	0.000149977	6.66769	53.3415
ceil	vector	float	10000000	0.0010024	9.97609	79.8087
ceil	vector	float	100000000	0.0098515	10.1507	81.2059
ceil	vector	double	1000	4.27605e-05	0.0233861	0.374177
ceil	vector	double	10000	5.45883e-05	0.18319	2.93103
ceil	vector	double	100000	9.0621e-05	1.1035	17.656
ceil	vector	double	1000000	0.000219443	4.55699	72.9119
ceil	vector	double	10000000	0.00168237	5.94401	95.1042
ceil	vector	double	100000000	0.0164473	6.08001	97.2802
