func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
tanh	float	1000	0.00171486	0.000583138	0.0046651	
tanh	float	10000	4.47017e-05	0.223705	1.78964	
tanh	float	100000	0.0012469	0.0801986	0.641589	
tanh	float	1000000	0.000278728	3.58773	28.7018	
tanh	float	10000000	0.00260988	3.83159	30.6527	
tanh	float	100000000	0.0369254	2.70816	21.6653	
tanh	double	1000	1.18058e-05	0.0847041	1.35527	
tanh	double	10000	1.84582e-05	0.541765	8.66823	
tanh	double	100000	0.000399852	0.250093	4.00148	
tanh	double	1000000	0.00045544	2.19568	35.1308	
tanh	double	10000000	0.00721064	1.38684	22.1894	
tanh	double	100000000	0.0699901	1.42877	22.8604	
