func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_div	vector	float	1000	0.000204629	0.00977379	0.0390952
sv_div	vector	float	2000	1.85067e-05	0.216138	0.864552
sv_div	vector	float	4000	2.05398e-05	0.389488	1.55795
sv_div	vector	float	8000	2.3695e-05	0.675248	2.70099
sv_div	vector	float	16000	3.47238e-05	0.921558	3.68623
sv_div	vector	float	32000	4.91166e-05	1.30302	5.21209
sv_div	vector	float	64000	8.91221e-05	1.43623	5.74493
sv_div	vector	float	128000	0.000146342	1.74932	6.99729
sv_div	vector	float	256000	0.000264288	1.93728	7.74911
sv_div	vector	float	512000	0.000511164	2.00327	8.01308
sv_div	vector	float	1024000	0.000924045	2.21634	8.86537
sv_div	vector	float	2048000	0.00171072	2.39431	9.57724
sv_div	vector	float	4096000	0.00488372	1.67741	6.70964
sv_div	vector	float	8192000	0.015816	1.03591	4.14366
sv_div	vector	double	1000	1.76354e-05	0.113408	0.907266
sv_div	vector	double	2000	2.04359e-05	0.195734	1.56587
sv_div	vector	double	4000	2.22476e-05	0.359589	2.87671
sv_div	vector	double	8000	3.11954e-05	0.512896	4.10317
sv_div	vector	double	16000	4.52328e-05	0.707451	5.65961
sv_div	vector	double	32000	7.22199e-05	0.886182	7.08946
sv_div	vector	double	64000	0.00011118	1.15129	9.21033
sv_div	vector	double	128000	0.000207994	1.2308	9.84643
sv_div	vector	double	256000	0.000383749	1.33421	10.6737
sv_div	vector	double	512000	0.000736094	1.39113	11.129
sv_div	vector	double	1024000	0.00147974	1.38403	11.0722
sv_div	vector	double	2048000	0.00556089	0.736573	5.89258
sv_div	vector	double	4096000	0.0140659	0.582403	4.65922
sv_div	vector	double	8192000	0.0437154	0.374788	2.9983
