func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
dot	vector	float	1000	0.000246718	0.00810642	0.0324257
dot	vector	float	10000	0.000243021	0.0822976	0.32919
dot	vector	float	100000	0.000244671	0.817423	3.26969
dot	vector	float	1000000	0.000527673	3.79022	15.1609
dot	vector	float	10000000	0.00124006	16.1282	64.5128
dot	vector	float	100000000	0.00833087	24.0071	96.0284
dot	vector	double	1000	0.000246285	0.00812067	0.0649653
dot	vector	double	10000	0.000245427	0.0814907	0.651925
dot	vector	double	100000	0.000256468	0.779823	6.23859
dot	vector	double	1000000	0.000608186	3.28847	26.3078
dot	vector	double	10000000	0.00201439	9.92857	79.4285
dot	vector	double	100000000	0.0159662	12.5264	100.211
