func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(CRS)	CRS	float	10000	10000	0.00131791	0.614611
m_tanh(CRS)	CRS	float	20000	20000	0.000865247	1.8723
m_tanh(CRS)	CRS	float	30000	30000	0.00129122	1.88194
m_tanh(CRS)	CRS	float	40000	40000	0.00171633	1.88775
m_tanh(CRS)	CRS	float	50000	50000	0.00211297	1.91674
m_tanh(CRS)	CRS	float	60000	60000	0.00257147	1.88997
m_tanh(CRS)	CRS	float	70000	70000	0.00309057	1.83461
m_tanh(CRS)	CRS	float	80000	80000	0.00371642	1.74361
m_tanh(CRS)	CRS	float	90000	90000	0.00443677	1.64309
m_tanh(CRS)	CRS	float	100000	100000	0.00492439	1.64487
m_tanh(CRS)	CRS	double	10000	10000	0.000709692	1.14134
m_tanh(CRS)	CRS	double	20000	20000	0.0014012	1.15615
m_tanh(CRS)	CRS	double	30000	30000	0.00210623	1.15372
m_tanh(CRS)	CRS	double	40000	40000	0.00344499	0.940497
m_tanh(CRS)	CRS	double	50000	50000	0.00484614	0.835717
m_tanh(CRS)	CRS	double	60000	60000	0.00703877	0.690462
m_tanh(CRS)	CRS	double	70000	70000	0.00820097	0.691382
m_tanh(CRS)	CRS	double	80000	80000	0.0110413	0.586889
m_tanh(CRS)	CRS	double	90000	90000	0.0120933	0.602814
m_tanh(CRS)	CRS	double	100000	100000	0.0158332	0.511582
