func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	Dense	float	1000	1000	0.00087294	1.14555
m_tanh(Dense)	Dense	float	2000	2000	0.00108256	3.69493
m_tanh(Dense)	Dense	float	3000	3000	0.00247702	3.63339
m_tanh(Dense)	Dense	float	4000	4000	0.00480429	3.33036
m_tanh(Dense)	Dense	float	5000	5000	0.00884321	2.82703
m_tanh(Dense)	Dense	float	6000	6000	0.0124658	2.8879
m_tanh(Dense)	Dense	float	7000	7000	0.0179305	2.73277
m_tanh(Dense)	Dense	float	8000	8000	0.0238666	2.68157
m_tanh(Dense)	Dense	float	9000	9000	0.0309606	2.61623
m_tanh(Dense)	Dense	float	10000	10000	0.0313116	3.1937
m_tanh(Dense)	Dense	double	1000	1000	0.000731668	1.36674
m_tanh(Dense)	Dense	double	2000	2000	0.0029993	1.33364
m_tanh(Dense)	Dense	double	3000	3000	0.00696214	1.29271
m_tanh(Dense)	Dense	double	4000	4000	0.0124137	1.2889
m_tanh(Dense)	Dense	double	5000	5000	0.0195995	1.27554
m_tanh(Dense)	Dense	double	6000	6000	0.0281826	1.27738
m_tanh(Dense)	Dense	double	7000	7000	0.0385448	1.27125
m_tanh(Dense)	Dense	double	8000	8000	0.050456	1.26843
m_tanh(Dense)	Dense	double	9000	9000	0.0677326	1.19588
m_tanh(Dense)	Dense	double	10000	10000	0.0784291	1.27504
