func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_mul	vector	float	1000	7.97761e-05	0.0250702	0.150421
vv_mul	vector	float	10000	0.000106715	0.187415	1.12449
vv_mul	vector	float	100000	0.000462748	0.432201	2.59321
vv_mul	vector	float	1000000	0.00375571	0.532523	3.19514
vv_mul	vector	float	10000000	0.0341231	0.586113	3.51668
vv_mul	vector	float	100000000	0.428223	0.467047	2.80228
vv_mul	vector	double	1000	0.000106477	0.0187834	0.225401
vv_mul	vector	double	10000	0.000145168	0.137772	1.65326
vv_mul	vector	double	100000	0.000813273	0.24592	2.95104
vv_mul	vector	double	1000000	0.00724771	0.275949	3.31139
vv_mul	vector	double	10000000	0.0675716	0.295982	3.55179
vv_mul	vector	double	100000000	0.843442	0.237124	2.84548
