func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	5.89151e-05	16.9736	203.683
matadd(Dense,Dense,Dense)	float	2000	2000	0.00222122	1.80081	21.6097
matadd(Dense,Dense,Dense)	float	3000	3000	0.0107465	0.83748	10.0498
matadd(Dense,Dense,Dense)	float	4000	4000	0.0206989	0.772989	9.27586
matadd(Dense,Dense,Dense)	float	5000	5000	0.0330791	0.755763	9.06916
matadd(Dense,Dense,Dense)	float	6000	6000	0.0329798	1.09158	13.0989
matadd(Dense,Dense,Dense)	float	7000	7000	0.0627376	0.781031	9.37237
matadd(Dense,Dense,Dense)	float	8000	8000	0.0803809	0.796209	9.55451
matadd(Dense,Dense,Dense)	float	9000	9000	0.0758198	1.06832	12.8199
matadd(Dense,Dense,Dense)	float	10000	10000	0.0935612	1.06882	12.8258
matadd(Dense,Dense,Dense)	double	1000	1000	0.000100107	9.98929	239.743
matadd(Dense,Dense,Dense)	double	2000	2000	0.00932124	0.429128	10.2991
matadd(Dense,Dense,Dense)	double	3000	3000	0.0115556	0.77884	18.6922
matadd(Dense,Dense,Dense)	double	4000	4000	0.0422608	0.378601	9.08643
matadd(Dense,Dense,Dense)	double	5000	5000	0.0498725	0.501279	12.0307
matadd(Dense,Dense,Dense)	double	6000	6000	0.0691098	0.52091	12.5018
matadd(Dense,Dense,Dense)	double	7000	7000	0.1167	0.419879	10.0771
matadd(Dense,Dense,Dense)	double	8000	8000	0.139348	0.459282	11.0228
matadd(Dense,Dense,Dense)	double	9000	9000	0.125943	0.643148	15.4356
matadd(Dense,Dense,Dense)	double	10000	10000	0.16311	0.613083	14.714
