func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_add(CRS,CRS,CRS)	CRS	float	10000	10000	0.000104151	7.77713	93.3256
mm_add(CRS,CRS,CRS)	CRS	float	20000	20000	0.000881103	1.8386	22.0633
mm_add(CRS,CRS,CRS)	CRS	float	30000	30000	0.00309386	0.785428	9.42513
mm_add(CRS,CRS,CRS)	CRS	float	40000	40000	0.00476043	0.680611	8.16734
mm_add(CRS,CRS,CRS)	CRS	float	50000	50000	0.0068651	0.589941	7.07929
mm_add(CRS,CRS,CRS)	CRS	float	60000	60000	0.00656187	0.740643	8.88771
mm_add(CRS,CRS,CRS)	CRS	float	70000	70000	0.0108518	0.522494	6.26993
mm_add(CRS,CRS,CRS)	CRS	float	80000	80000	0.0127911	0.506603	6.07924
mm_add(CRS,CRS,CRS)	CRS	float	90000	90000	0.0133286	0.546945	6.56334
mm_add(CRS,CRS,CRS)	CRS	float	100000	100000	0.0133096	0.608583	7.303
mm_add(CRS,CRS,CRS)	CRS	double	10000	10000	0.000908272	0.891803	21.4033
mm_add(CRS,CRS,CRS)	CRS	double	20000	20000	0.00526584	0.307643	7.38344
mm_add(CRS,CRS,CRS)	CRS	double	30000	30000	0.00875517	0.27755	6.66121
mm_add(CRS,CRS,CRS)	CRS	double	40000	40000	0.0126516	0.256094	6.14625
mm_add(CRS,CRS,CRS)	CRS	double	50000	50000	0.0167602	0.241645	5.79947
mm_add(CRS,CRS,CRS)	CRS	double	60000	60000	0.0211117	0.230204	5.52491
mm_add(CRS,CRS,CRS)	CRS	double	70000	70000	0.0119027	0.476361	11.4327
mm_add(CRS,CRS,CRS)	CRS	double	80000	80000	0.0284289	0.227937	5.47049
mm_add(CRS,CRS,CRS)	CRS	double	90000	90000	0.0319335	0.228287	5.47889
mm_add(CRS,CRS,CRS)	CRS	double	100000	100000	0.0245552	0.329869	7.91685
