func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_pow(CRS,CRS)	CRS	float	10000	10000	0.00201049	0.805773	3.22309
sm_pow(CRS,CRS)	CRS	float	20000	20000	0.0018324	1.76818	7.0727
sm_pow(CRS,CRS)	CRS	float	30000	30000	0.00333822	1.45586	5.82346
sm_pow(CRS,CRS)	CRS	float	40000	40000	0.00436536	1.48441	5.93765
sm_pow(CRS,CRS)	CRS	float	50000	50000	0.00792512	1.02207	4.08827
sm_pow(CRS,CRS)	CRS	float	60000	60000	0.00880959	1.10334	4.41337
sm_pow(CRS,CRS)	CRS	float	70000	70000	0.0117211	0.967489	3.86995
sm_pow(CRS,CRS)	CRS	float	80000	80000	0.012468	1.03946	4.15785
sm_pow(CRS,CRS)	CRS	float	90000	90000	0.0110126	1.32394	5.29574
sm_pow(CRS,CRS)	CRS	float	100000	100000	0.01842	0.879478	3.51791
sm_pow(CRS,CRS)	CRS	double	10000	10000	0.00194053	0.834822	6.67857
sm_pow(CRS,CRS)	CRS	double	20000	20000	0.0051091	0.634162	5.0733
sm_pow(CRS,CRS)	CRS	double	30000	30000	0.00921749	0.527258	4.21807
sm_pow(CRS,CRS)	CRS	double	40000	40000	0.0144142	0.449556	3.59644
sm_pow(CRS,CRS)	CRS	double	50000	50000	0.014416	0.561877	4.49501
sm_pow(CRS,CRS)	CRS	double	60000	60000	0.0237958	0.408475	3.2678
sm_pow(CRS,CRS)	CRS	double	70000	70000	0.0166201	0.682305	5.45844
sm_pow(CRS,CRS)	CRS	double	80000	80000	0.0185183	0.699849	5.59879
sm_pow(CRS,CRS)	CRS	double	90000	90000	0.0191053	0.76314	6.10512
sm_pow(CRS,CRS)	CRS	double	100000	100000	0.0254029	0.637723	5.10178
