func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	vector	float	1000	0.000667595	0.00149791	0.00599166
sum	vector	float	10000	1.6247e-05	0.615498	2.46199
sum	vector	float	100000	1.92863e-05	5.18502	20.7401
sum	vector	float	1000000	5.85576e-05	17.0772	68.3088
sum	vector	float	10000000	0.00130819	7.64412	30.5765
sum	vector	float	100000000	0.0380295	2.62954	10.5182
sum	vector	double	1000	1.88973e-05	0.0529176	0.423341
sum	vector	double	10000	1.80255e-05	0.55477	4.43816
sum	vector	double	100000	1.99121e-05	5.02207	40.1766
sum	vector	double	1000000	7.58332e-05	13.1868	105.495
sum	vector	double	10000000	0.00459607	2.17577	17.4062
sum	vector	double	100000000	0.06141	1.6284	13.0272
