func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	vector	float	1000	0.00019479	0.00513374	0.020535
sum	vector	float	10000	1.7494e-05	0.571625	2.2865
sum	vector	float	100000	2.04363e-05	4.89325	19.573
sum	vector	float	1000000	6.30136e-05	15.8696	63.4783
sum	vector	float	10000000	0.00122416	8.16888	32.6755
sum	vector	float	100000000	0.0362214	2.7608	11.0432
sum	vector	double	1000	1.74242e-05	0.0573913	0.459131
sum	vector	double	10000	1.73837e-05	0.575252	4.60201
sum	vector	double	100000	2.21672e-05	4.51117	36.0894
sum	vector	double	1000000	6.27526e-05	15.9356	127.485
sum	vector	double	10000000	0.00808588	1.23672	9.89379
sum	vector	double	100000000	0.0931537	1.07349	8.58796
