func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00185483
transpose(Dense)	Dense	float	2000	2000	0.008287
transpose(Dense)	Dense	float	3000	3000	0.0351122
transpose(Dense)	Dense	float	4000	4000	0.068078
transpose(Dense)	Dense	float	5000	5000	0.112329
transpose(Dense)	Dense	float	6000	6000	0.18192
transpose(Dense)	Dense	float	7000	7000	0.257393
transpose(Dense)	Dense	float	8000	8000	0.348837
transpose(Dense)	Dense	float	9000	9000	0.466254
transpose(Dense)	Dense	float	10000	10000	0.599165
transpose(Dense)	Dense	double	1000	1000	0.00320055
transpose(Dense)	Dense	double	2000	2000	0.0142023
transpose(Dense)	Dense	double	3000	3000	0.0489698
transpose(Dense)	Dense	double	4000	4000	0.0966408
transpose(Dense)	Dense	double	5000	5000	0.172959
transpose(Dense)	Dense	double	6000	6000	0.272973
transpose(Dense)	Dense	double	7000	7000	0.403866
transpose(Dense)	Dense	double	8000	8000	0.667408
transpose(Dense)	Dense	double	9000	9000	0.721091
transpose(Dense)	Dense	double	10000	10000	0.886844
