func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_ceil(Dense)	Dense	float	1000	1000	0.000154027	6.49236
m_ceil(Dense)	Dense	float	2000	2000	0.00116187	3.44273
m_ceil(Dense)	Dense	float	3000	3000	0.0033546	2.68289
m_ceil(Dense)	Dense	float	4000	4000	0.00596716	2.68134
m_ceil(Dense)	Dense	float	5000	5000	0.00925845	2.70023
m_ceil(Dense)	Dense	float	6000	6000	0.0133563	2.69535
m_ceil(Dense)	Dense	float	7000	7000	0.0182484	2.68517
m_ceil(Dense)	Dense	float	8000	8000	0.0237307	2.69692
m_ceil(Dense)	Dense	float	9000	9000	0.0300006	2.69994
m_ceil(Dense)	Dense	float	10000	10000	0.0370252	2.70086
m_ceil(Dense)	Dense	double	1000	1000	7.98864e-05	12.5178
m_ceil(Dense)	Dense	double	2000	2000	0.00295359	1.35428
m_ceil(Dense)	Dense	double	3000	3000	0.00666516	1.35031
m_ceil(Dense)	Dense	double	4000	4000	0.0118592	1.34916
m_ceil(Dense)	Dense	double	5000	5000	0.0185022	1.35119
m_ceil(Dense)	Dense	double	6000	6000	0.0266306	1.35183
m_ceil(Dense)	Dense	double	7000	7000	0.0362736	1.35085
m_ceil(Dense)	Dense	double	8000	8000	0.047357	1.35144
m_ceil(Dense)	Dense	double	9000	9000	0.0599314	1.35155
m_ceil(Dense)	Dense	double	10000	10000	0.0739636	1.35202
