func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	vector	float	1000	4.9219e-05	0.0203174	0.0812695
sum	vector	float	10000	5.62244e-05	0.177859	0.711435
sum	vector	float	100000	0.000114982	0.869703	3.47881
sum	vector	float	1000000	0.000990392	1.0097	4.0388
sum	vector	float	10000000	0.00735408	1.35979	5.43916
sum	vector	float	100000000	0.070703	1.41437	5.65747
sum	vector	double	1000	4.89401e-05	0.0204331	0.163465
sum	vector	double	10000	5.4972e-05	0.181911	1.45529
sum	vector	double	100000	0.000121132	0.825548	6.60438
sum	vector	double	1000000	0.000929827	1.07547	8.60375
sum	vector	double	10000000	0.00665854	1.50183	12.0147
sum	vector	double	100000000	0.0634442	1.57619	12.6095
