func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sign	vector	float	1000	0.000391072	0.00255707	0.0204566
sign	vector	float	10000	1.2168e-05	0.821825	6.5746
sign	vector	float	100000	1.58926e-05	6.29222	50.3378
sign	vector	float	1000000	5.91224e-05	16.9141	135.312
sign	vector	float	10000000	0.00112127	8.91845	71.3476
sign	vector	float	100000000	0.0396845	2.51987	20.159
sign	vector	double	1000	1.39655e-05	0.0716049	1.14568
sign	vector	double	10000	1.26894e-05	0.788059	12.6089
sign	vector	double	100000	1.7277e-05	5.78804	92.6087
sign	vector	double	1000000	7.87098e-05	12.7049	203.278
sign	vector	double	10000000	0.0077742	1.28631	20.5809
sign	vector	double	100000000	0.0767909	1.30224	20.8358
