func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_div(Dense,Dense,Dense)	Dense	float	1000	1000	0.0140275	0.0712884	0.85546
mm_div(Dense,Dense,Dense)	Dense	float	2000	2000	0.0491862	0.0813236	0.975883
mm_div(Dense,Dense,Dense)	Dense	float	3000	3000	0.101522	0.0886506	1.06381
mm_div(Dense,Dense,Dense)	Dense	float	4000	4000	0.192692	0.0830341	0.99641
mm_div(Dense,Dense,Dense)	Dense	float	5000	5000	0.288458	0.0866678	1.04001
mm_div(Dense,Dense,Dense)	Dense	float	6000	6000	0.417908	0.0861434	1.03372
mm_div(Dense,Dense,Dense)	Dense	float	7000	7000	0.568239	0.0862313	1.03478
mm_div(Dense,Dense,Dense)	Dense	float	8000	8000	0.745563	0.0858412	1.03009
mm_div(Dense,Dense,Dense)	Dense	float	9000	9000	0.944102	0.0857958	1.02955
mm_div(Dense,Dense,Dense)	Dense	float	10000	10000	1.16276	0.0860022	1.03203
mm_div(Dense,Dense,Dense)	Dense	double	1000	1000	0.012752	0.078419	1.88206
mm_div(Dense,Dense,Dense)	Dense	double	2000	2000	0.0522987	0.0764837	1.83561
mm_div(Dense,Dense,Dense)	Dense	double	3000	3000	0.108475	0.0829681	1.99124
mm_div(Dense,Dense,Dense)	Dense	double	4000	4000	0.18715	0.0854928	2.05183
mm_div(Dense,Dense,Dense)	Dense	double	5000	5000	0.300122	0.0832993	1.99918
mm_div(Dense,Dense,Dense)	Dense	double	6000	6000	0.426878	0.0843333	2.024
mm_div(Dense,Dense,Dense)	Dense	double	7000	7000	0.58176	0.0842271	2.02145
mm_div(Dense,Dense,Dense)	Dense	double	8000	8000	0.759809	0.0842317	2.02156
mm_div(Dense,Dense,Dense)	Dense	double	9000	9000	0.959873	0.0843861	2.02527
mm_div(Dense,Dense,Dense)	Dense	double	10000	10000	1.18302	0.0845297	2.02871
