func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_mul(Dense,Dense)	Dense	float	1000	1000	3.51743e-05	28.4298	227.439
sm_mul(Dense,Dense)	Dense	float	2000	2000	0.000118399	33.7841	270.273
sm_mul(Dense,Dense)	Dense	float	3000	3000	0.00465165	1.9348	15.4784
sm_mul(Dense,Dense)	Dense	float	4000	4000	0.0107099	1.49394	11.9515
sm_mul(Dense,Dense)	Dense	float	5000	5000	0.0172494	1.44932	11.5946
sm_mul(Dense,Dense)	Dense	float	6000	6000	0.0265157	1.35768	10.8615
sm_mul(Dense,Dense)	Dense	float	7000	7000	0.0367237	1.33429	10.6743
sm_mul(Dense,Dense)	Dense	float	8000	8000	0.0358221	1.78661	14.2928
sm_mul(Dense,Dense)	Dense	float	9000	9000	0.0415696	1.94854	15.5883
sm_mul(Dense,Dense)	Dense	float	10000	10000	0.0379473	2.63524	21.0819
sm_mul(Dense,Dense)	Dense	double	1000	1000	6.23095e-05	16.0489	256.783
sm_mul(Dense,Dense)	Dense	double	2000	2000	0.00404138	0.989761	15.8362
sm_mul(Dense,Dense)	Dense	double	3000	3000	0.0124241	0.724396	11.5903
sm_mul(Dense,Dense)	Dense	double	4000	4000	0.0239156	0.66902	10.7043
sm_mul(Dense,Dense)	Dense	double	5000	5000	0.0246641	1.01362	16.2179
sm_mul(Dense,Dense)	Dense	double	6000	6000	0.0450294	0.799478	12.7916
sm_mul(Dense,Dense)	Dense	double	7000	7000	0.05106	0.959655	15.3545
sm_mul(Dense,Dense)	Dense	double	8000	8000	0.085079	0.752242	12.0359
sm_mul(Dense,Dense)	Dense	double	9000	9000	0.0959719	0.843997	13.504
sm_mul(Dense,Dense)	Dense	double	10000	10000	0.0920472	1.0864	17.3824
