func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.000268395	3.72586	29.8069
mscal(Dense)	float	2000	2000	9.92121e-05	40.3177	322.541
mscal(Dense)	float	3000	3000	0.000238266	37.773	302.184
mscal(Dense)	float	4000	4000	0.00598676	2.67257	21.3805
mscal(Dense)	float	5000	5000	0.0116475	2.14638	17.1711
mscal(Dense)	double	1000	1000	5.06037e-05	19.7614	316.182
mscal(Dense)	double	2000	2000	0.000205033	19.509	312.145
mscal(Dense)	double	3000	3000	0.00756215	1.19014	19.0422
mscal(Dense)	double	4000	4000	0.0152293	1.05061	16.8097
mscal(Dense)	double	5000	5000	0.0250089	0.999644	15.9943
