func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(CRS)	float	1000	1000	0.0259623	0.00623982
mv_mul(CRS)	float	2000	2000	0.000901167	0.359534
mv_mul(CRS)	float	4000	4000	0.000913896	0.709052
mv_mul(CRS)	float	8000	8000	0.000931772	1.3909
mv_mul(CRS)	float	16000	16000	0.000988395	2.62243
mv_mul(CRS)	float	32000	32000	0.00177283	2.92414
mv_mul(CRS)	float	64000	64000	0.00249573	4.1543
mv_mul(CRS)	double	1000	1000	0.000896993	0.180603
mv_mul(CRS)	double	2000	2000	0.000908641	0.356576
mv_mul(CRS)	double	4000	4000	0.000921509	0.703194
mv_mul(CRS)	double	8000	8000	0.00089526	1.44762
mv_mul(CRS)	double	16000	16000	0.00145682	1.77922
mv_mul(CRS)	double	32000	32000	0.00193582	2.67794
mv_mul(CRS)	double	64000	64000	0.00290865	3.56454
