func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_add	vector	float	1000	0.000856801	0.00233426	0.00933706
sv_add	vector	float	10000	1.8346e-05	1.09016	4.36063
sv_add	vector	float	100000	0.00574815	0.0347938	0.139175
sv_add	vector	float	1000000	0.00113363	1.76425	7.05699
sv_add	vector	float	10000000	0.0264094	0.757307	3.02923
sv_add	vector	float	100000000	0.197974	1.01023	4.04094
sv_add	vector	double	1000	1.61317e-05	0.12398	0.991838
sv_add	vector	double	10000	2.89857e-05	0.689995	5.51996
sv_add	vector	double	100000	0.00559851	0.0357238	0.28579
sv_add	vector	double	1000000	0.0015347	1.30319	10.4255
sv_add	vector	double	10000000	0.05596	0.357398	2.85918
sv_add	vector	double	100000000	0.395445	0.505759	4.04607
