func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_atanh(Dense)	Dense	float	1000	1000	0.000220234	4.54062
m_atanh(Dense)	Dense	float	2000	2000	0.000696581	5.74233
m_atanh(Dense)	Dense	float	3000	3000	0.0014884	6.04674
m_atanh(Dense)	Dense	float	4000	4000	0.00241919	6.61377
m_atanh(Dense)	Dense	float	5000	5000	0.00336882	7.421
m_atanh(Dense)	Dense	float	6000	6000	0.00461796	7.79566
m_atanh(Dense)	Dense	float	7000	7000	0.00588319	8.32881
m_atanh(Dense)	Dense	float	8000	8000	0.00769881	8.31297
m_atanh(Dense)	Dense	float	9000	9000	0.00973196	8.3231
m_atanh(Dense)	Dense	float	10000	10000	0.0119553	8.3645
m_atanh(Dense)	Dense	double	1000	1000	0.00123842	0.807484
m_atanh(Dense)	Dense	double	2000	2000	0.00475053	0.842011
m_atanh(Dense)	Dense	double	3000	3000	0.0108122	0.832395
m_atanh(Dense)	Dense	double	4000	4000	0.0192651	0.830519
m_atanh(Dense)	Dense	double	5000	5000	0.0300551	0.831807
m_atanh(Dense)	Dense	double	6000	6000	0.0432853	0.831691
m_atanh(Dense)	Dense	double	7000	7000	0.059018	0.830256
m_atanh(Dense)	Dense	double	8000	8000	0.0773025	0.827917
m_atanh(Dense)	Dense	double	9000	9000	0.0978484	0.827812
m_atanh(Dense)	Dense	double	10000	10000	0.120999	0.826454
