func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_add(Dense,Dense,Dense)	Dense	float	1000	1000	0.000917791	1.08957	13.0749
mm_add(Dense,Dense,Dense)	Dense	float	2000	2000	0.00215868	1.85298	22.2358
mm_add(Dense,Dense,Dense)	Dense	float	3000	3000	0.00481721	1.8683	22.4196
mm_add(Dense,Dense,Dense)	Dense	float	4000	4000	0.00852706	1.87638	22.5166
mm_add(Dense,Dense,Dense)	Dense	float	5000	5000	0.0133714	1.86966	22.436
mm_add(Dense,Dense,Dense)	Dense	float	6000	6000	0.0192898	1.86627	22.3953
mm_add(Dense,Dense,Dense)	Dense	float	7000	7000	0.0259767	1.88631	22.6357
mm_add(Dense,Dense,Dense)	Dense	float	8000	8000	0.0342312	1.86964	22.4356
mm_add(Dense,Dense,Dense)	Dense	float	9000	9000	0.0428018	1.89244	22.7093
mm_add(Dense,Dense,Dense)	Dense	float	10000	10000	0.0533047	1.87601	22.5121
mm_add(Dense,Dense,Dense)	Dense	double	1000	1000	0.0010848	0.921832	22.124
mm_add(Dense,Dense,Dense)	Dense	double	2000	2000	0.00429856	0.930544	22.3331
mm_add(Dense,Dense,Dense)	Dense	double	3000	3000	0.00966196	0.931488	22.3557
mm_add(Dense,Dense,Dense)	Dense	double	4000	4000	0.0171268	0.934206	22.4209
mm_add(Dense,Dense,Dense)	Dense	double	5000	5000	0.0266836	0.936904	22.4857
mm_add(Dense,Dense,Dense)	Dense	double	6000	6000	0.0384807	0.935534	22.4528
mm_add(Dense,Dense,Dense)	Dense	double	7000	7000	0.0519031	0.944066	22.6576
mm_add(Dense,Dense,Dense)	Dense	double	8000	8000	0.0683087	0.936924	22.4862
mm_add(Dense,Dense,Dense)	Dense	double	9000	9000	0.0861153	0.9406	22.5744
mm_add(Dense,Dense,Dense)	Dense	double	10000	10000	0.108159	0.924567	22.1896
