func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_div(CRS,CRS,CRS)	CRS	float	10000	10000	0.000866553	1.86948	11.2169
mm_div(CRS,CRS,CRS)	CRS	float	20000	20000	0.00175446	1.84672	11.0803
mm_div(CRS,CRS,CRS)	CRS	float	30000	30000	0.00261872	1.85587	11.1352
mm_div(CRS,CRS,CRS)	CRS	float	40000	40000	0.00349948	1.8517	11.1102
mm_div(CRS,CRS,CRS)	CRS	float	50000	50000	0.00436164	1.8571	11.1426
mm_div(CRS,CRS,CRS)	CRS	float	60000	60000	0.00521936	1.8623	11.1738
mm_div(CRS,CRS,CRS)	CRS	float	70000	70000	0.00606975	1.86828	11.2097
mm_div(CRS,CRS,CRS)	CRS	float	80000	80000	0.00698806	1.85459	11.1275
mm_div(CRS,CRS,CRS)	CRS	float	90000	90000	0.00784761	1.85789	11.1473
mm_div(CRS,CRS,CRS)	CRS	float	100000	100000	0.00872247	1.85727	11.1436
mm_div(CRS,CRS,CRS)	CRS	double	10000	10000	0.00173463	0.933914	11.207
mm_div(CRS,CRS,CRS)	CRS	double	20000	20000	0.0034652	0.935011	11.2201
mm_div(CRS,CRS,CRS)	CRS	double	30000	30000	0.00524479	0.926633	11.1196
mm_div(CRS,CRS,CRS)	CRS	double	40000	40000	0.00700104	0.925576	11.1069
mm_div(CRS,CRS,CRS)	CRS	double	50000	50000	0.00873606	0.927192	11.1263
mm_div(CRS,CRS,CRS)	CRS	double	60000	60000	0.0105001	0.925706	11.1085
mm_div(CRS,CRS,CRS)	CRS	double	70000	70000	0.0122236	0.927711	11.1325
mm_div(CRS,CRS,CRS)	CRS	double	80000	80000	0.0138116	0.938343	11.2601
mm_div(CRS,CRS,CRS)	CRS	double	90000	90000	0.0155584	0.937117	11.2454
mm_div(CRS,CRS,CRS)	CRS	double	100000	100000	0.0174362	0.9291	11.1492
