func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_div(CRS,CRS,CRS)	CRS	float	10000	10000	0.000472595	3.42788	20.5673
mm_div(CRS,CRS,CRS)	CRS	float	20000	20000	0.000862696	3.75567	22.534
mm_div(CRS,CRS,CRS)	CRS	float	30000	30000	0.00107242	4.53179	27.1907
mm_div(CRS,CRS,CRS)	CRS	float	40000	40000	0.00129392	5.00805	30.0483
mm_div(CRS,CRS,CRS)	CRS	float	50000	50000	0.00144329	5.61218	33.6731
mm_div(CRS,CRS,CRS)	CRS	float	60000	60000	0.00169799	5.72442	34.3465
mm_div(CRS,CRS,CRS)	CRS	float	70000	70000	0.00196582	5.76858	34.6115
mm_div(CRS,CRS,CRS)	CRS	float	80000	80000	0.00222279	5.8305	34.983
mm_div(CRS,CRS,CRS)	CRS	float	90000	90000	0.00242178	6.02037	36.1222
mm_div(CRS,CRS,CRS)	CRS	float	100000	100000	0.00265601	6.09937	36.5962
mm_div(CRS,CRS,CRS)	CRS	double	10000	10000	0.000581225	2.78722	33.4466
mm_div(CRS,CRS,CRS)	CRS	double	20000	20000	0.000975621	3.32096	39.8515
mm_div(CRS,CRS,CRS)	CRS	double	30000	30000	0.00144888	3.35431	40.2517
mm_div(CRS,CRS,CRS)	CRS	double	40000	40000	0.00182246	3.55564	42.6677
mm_div(CRS,CRS,CRS)	CRS	double	50000	50000	0.00226959	3.56893	42.8271
mm_div(CRS,CRS,CRS)	CRS	double	60000	60000	0.00261855	3.71198	44.5437
mm_div(CRS,CRS,CRS)	CRS	double	70000	70000	0.00304967	3.71843	44.6212
mm_div(CRS,CRS,CRS)	CRS	double	80000	80000	0.00343244	3.77574	45.3089
mm_div(CRS,CRS,CRS)	CRS	double	90000	90000	0.00383773	3.79912	45.5894
mm_div(CRS,CRS,CRS)	CRS	double	100000	100000	0.00422196	3.83708	46.045
