func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	Dense	float	1000	1000	0.000200597	4.98512	59.8214
matadd(Dense,Dense,Dense)	Dense	float	2000	2000	0.000597579	6.69368	80.3241
matadd(Dense,Dense,Dense)	Dense	float	3000	3000	0.00124	7.25805	87.0966
matadd(Dense,Dense,Dense)	Dense	float	4000	4000	0.00202961	7.88328	94.5993
matadd(Dense,Dense,Dense)	Dense	float	5000	5000	0.00323179	7.73566	92.8279
matadd(Dense,Dense,Dense)	Dense	float	6000	6000	0.00490708	7.33634	88.0361
matadd(Dense,Dense,Dense)	Dense	float	7000	7000	0.00617771	7.93174	95.1809
matadd(Dense,Dense,Dense)	Dense	float	8000	8000	0.00797204	8.02805	96.3366
matadd(Dense,Dense,Dense)	Dense	float	9000	9000	0.00999381	8.10501	97.2602
matadd(Dense,Dense,Dense)	Dense	float	10000	10000	0.0123342	8.10752	97.2903
matadd(Dense,Dense,Dense)	Dense	double	1000	1000	0.000348661	2.86812	68.8348
matadd(Dense,Dense,Dense)	Dense	double	2000	2000	0.00105533	3.79027	90.9664
matadd(Dense,Dense,Dense)	Dense	double	3000	3000	0.00228394	3.94056	94.5734
matadd(Dense,Dense,Dense)	Dense	double	4000	4000	0.00407825	3.92325	94.1579
matadd(Dense,Dense,Dense)	Dense	double	5000	5000	0.00624583	4.00267	96.0641
matadd(Dense,Dense,Dense)	Dense	double	6000	6000	0.00890883	4.04094	96.9825
matadd(Dense,Dense,Dense)	Dense	double	7000	7000	0.0120469	4.06745	97.6188
matadd(Dense,Dense,Dense)	Dense	double	8000	8000	0.0156594	4.087	98.0879
matadd(Dense,Dense,Dense)	Dense	double	9000	9000	0.0197385	4.10366	98.488
matadd(Dense,Dense,Dense)	Dense	double	10000	10000	0.0242954	4.116	98.7841
