func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_asin(CRS)	CRS	float	10000	10000	0.000390251	2.07558
m_asin(CRS)	CRS	float	20000	20000	0.000717053	2.25925
m_asin(CRS)	CRS	float	30000	30000	0.00104498	2.3254
m_asin(CRS)	CRS	float	40000	40000	0.00137275	2.36023
m_asin(CRS)	CRS	float	50000	50000	0.00154065	2.62877
m_asin(CRS)	CRS	float	60000	60000	0.0017687	2.74778
m_asin(CRS)	CRS	float	70000	70000	0.00205137	2.76401
m_asin(CRS)	CRS	float	80000	80000	0.00206771	3.1339
m_asin(CRS)	CRS	float	90000	90000	0.00231757	3.14554
m_asin(CRS)	CRS	float	100000	100000	0.00256997	3.15178
m_asin(CRS)	CRS	double	10000	10000	0.00116547	0.695001
m_asin(CRS)	CRS	double	20000	20000	0.00226263	0.715981
m_asin(CRS)	CRS	double	30000	30000	0.00336184	0.722819
m_asin(CRS)	CRS	double	40000	40000	0.0044574	0.726882
m_asin(CRS)	CRS	double	50000	50000	0.00557819	0.726041
m_asin(CRS)	CRS	double	60000	60000	0.00672099	0.723108
m_asin(CRS)	CRS	double	70000	70000	0.00785397	0.721928
m_asin(CRS)	CRS	double	80000	80000	0.00894269	0.724615
m_asin(CRS)	CRS	double	90000	90000	0.0100495	0.725409
m_asin(CRS)	CRS	double	100000	100000	0.0111991	0.723271
