func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sign(Dense)	Dense	float	1000	1000	0.000180481	5.54075
m_sign(Dense)	Dense	float	2000	2000	0.000540199	7.40468
m_sign(Dense)	Dense	float	3000	3000	0.00114035	7.89235
m_sign(Dense)	Dense	float	4000	4000	0.00201186	7.95285
m_sign(Dense)	Dense	float	5000	5000	0.0027329	9.14778
m_sign(Dense)	Dense	float	6000	6000	0.00347339	10.3645
m_sign(Dense)	Dense	float	7000	7000	0.00470143	10.4224
m_sign(Dense)	Dense	float	8000	8000	0.0061503	10.406
m_sign(Dense)	Dense	float	9000	9000	0.00823429	9.83691
m_sign(Dense)	Dense	float	10000	10000	0.00953277	10.4901
m_sign(Dense)	Dense	double	1000	1000	0.000222643	4.49149
m_sign(Dense)	Dense	double	2000	2000	0.000751557	5.32228
m_sign(Dense)	Dense	double	3000	3000	0.00152097	5.91726
m_sign(Dense)	Dense	double	4000	4000	0.00265479	6.02685
m_sign(Dense)	Dense	double	5000	5000	0.00418891	5.96814
m_sign(Dense)	Dense	double	6000	6000	0.00601304	5.98699
m_sign(Dense)	Dense	double	7000	7000	0.00814006	6.01961
m_sign(Dense)	Dense	double	8000	8000	0.0106009	6.03721
m_sign(Dense)	Dense	double	9000	9000	0.0133812	6.05326
m_sign(Dense)	Dense	double	10000	10000	0.0164563	6.07669
