func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_div(CRS,CRS)	CRS	float	10000	10000	0.000335211	4.83278	19.3311
sm_div(CRS,CRS)	CRS	float	20000	20000	0.00060899	5.32028	21.2811
sm_div(CRS,CRS)	CRS	float	30000	30000	0.000883226	5.50255	22.0102
sm_div(CRS,CRS)	CRS	float	40000	40000	0.00110795	5.84863	23.3945
sm_div(CRS,CRS)	CRS	float	50000	50000	0.00123303	6.56917	26.2767
sm_div(CRS,CRS)	CRS	float	60000	60000	0.00133539	7.27876	29.1151
sm_div(CRS,CRS)	CRS	float	70000	70000	0.00154446	7.34239	29.3695
sm_div(CRS,CRS)	CRS	float	80000	80000	0.00175705	7.37602	29.5041
sm_div(CRS,CRS)	CRS	float	90000	90000	0.00202552	7.19815	28.7926
sm_div(CRS,CRS)	CRS	float	100000	100000	0.00227215	7.12982	28.5193
sm_div(CRS,CRS)	CRS	double	10000	10000	0.000367886	4.40354	35.2283
sm_div(CRS,CRS)	CRS	double	20000	20000	0.000672676	4.81658	38.5327
sm_div(CRS,CRS)	CRS	double	30000	30000	0.000979404	4.9622	39.6976
sm_div(CRS,CRS)	CRS	double	40000	40000	0.00128948	5.02526	40.2021
sm_div(CRS,CRS)	CRS	double	50000	50000	0.00159336	5.08359	40.6687
sm_div(CRS,CRS)	CRS	double	60000	60000	0.00194594	4.99503	39.9602
sm_div(CRS,CRS)	CRS	double	70000	70000	0.00230373	4.92246	39.3796
sm_div(CRS,CRS)	CRS	double	80000	80000	0.00263488	4.91862	39.349
sm_div(CRS,CRS)	CRS	double	90000	90000	0.00294317	4.95385	39.6308
sm_div(CRS,CRS)	CRS	double	100000	100000	0.00327052	4.95334	39.6267
