func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
dot	vector	float	1000	2.546e-07	7.85546	31.4218
dot	vector	float	2000	2.794e-07	14.3164	57.2656
dot	vector	float	4000	5.979e-07	13.3802	53.5207
dot	vector	float	8000	1.6307e-06	9.81174	39.2469
dot	vector	float	16000	8.8765e-06	3.60502	14.4201
dot	vector	float	32000	9.0555e-06	7.06753	28.2701
dot	vector	float	64000	8.6633e-06	14.775	59.0999
dot	vector	float	128000	9.6406e-06	26.5544	106.217
dot	vector	float	256000	1.16844e-05	43.8191	175.276
dot	vector	float	512000	1.60227e-05	63.9093	255.637
dot	vector	float	1024000	2.80761e-05	72.9446	291.778
dot	vector	float	2048000	4.90975e-05	83.4258	333.703
dot	vector	float	4096000	9.60167e-05	85.3185	341.274
dot	vector	float	8192000	0.00242319	6.76134	27.0454
dot	vector	double	1000	8.795e-07	2.27402	18.1922
dot	vector	double	2000	8.983e-07	4.45286	35.6228
dot	vector	double	4000	1.5047e-06	5.31667	42.5334
dot	vector	double	8000	7.9707e-06	2.00735	16.0588
dot	vector	double	16000	8.6784e-06	3.68732	29.4985
dot	vector	double	32000	8.5413e-06	7.493	59.944
dot	vector	double	64000	9.5022e-06	13.4706	107.765
dot	vector	double	128000	1.23121e-05	20.7926	166.34
dot	vector	double	256000	1.62929e-05	31.4247	251.398
dot	vector	double	512000	2.84618e-05	35.978	287.824
dot	vector	double	1024000	4.82271e-05	42.4658	339.726
dot	vector	double	2048000	0.000108689	37.6856	301.485
dot	vector	double	4096000	0.00360957	2.26952	18.1562
dot	vector	double	8192000	0.00645742	2.53724	20.2979
