func	kind	prec	M	N	time[sec]	perf[GFLOPS]
matvec(CRS)	CRS	float	10000	10000	0.000300761	5.38634
matvec(CRS)	CRS	float	20000	20000	0.000314734	10.2944
matvec(CRS)	CRS	float	30000	30000	0.000699577	6.94705
matvec(CRS)	CRS	float	40000	40000	0.0030754	2.10704
matvec(CRS)	CRS	float	50000	50000	0.00511267	1.5843
matvec(CRS)	CRS	float	60000	60000	0.00646943	1.50245
matvec(CRS)	CRS	float	70000	70000	0.00809681	1.40055
matvec(CRS)	CRS	float	80000	80000	0.0054464	2.37955
matvec(CRS)	CRS	float	90000	90000	0.0112141	1.30015
matvec(CRS)	CRS	float	100000	100000	0.0125488	1.29096
matvec(CRS)	CRS	double	10000	10000	0.000150633	10.7546
matvec(CRS)	CRS	double	20000	20000	0.000841073	3.85222
matvec(CRS)	CRS	double	30000	30000	0.00272412	1.78406
matvec(CRS)	CRS	double	40000	40000	0.00650744	0.995783
matvec(CRS)	CRS	double	50000	50000	0.00954123	0.848947
matvec(CRS)	CRS	double	60000	60000	0.011163	0.87073
matvec(CRS)	CRS	double	70000	70000	0.0107539	1.0545
matvec(CRS)	CRS	double	80000	80000	0.01556	0.832907
matvec(CRS)	CRS	double	90000	90000	0.00918746	1.58695
matvec(CRS)	CRS	double	100000	100000	0.0131794	1.22919
