func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
scal	vector	float	1000	0.000154021	0.00649263	0.051941
scal	vector	float	10000	0.000185002	0.0540534	0.432427
scal	vector	float	100000	0.000194081	0.515249	4.12199
scal	vector	float	1000000	0.000400983	2.49387	19.951
scal	vector	float	10000000	0.00116314	8.5974	68.7792
scal	vector	float	100000000	0.00857754	11.6584	93.2668
scal	vector	double	1000	0.000523975	0.00190849	0.0305358
scal	vector	double	10000	0.000419195	0.0238552	0.381684
scal	vector	double	100000	0.000420845	0.237617	3.80188
scal	vector	double	1000000	0.000530814	1.8839	30.1424
scal	vector	double	10000000	0.00207574	4.81756	77.0809
scal	vector	double	100000000	0.0167941	5.95447	95.2714
