func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_sub(Dense,Dense)	Dense	float	1000	1000	3.5068e-05	28.516	228.128
sm_sub(Dense,Dense)	Dense	float	2000	2000	0.000116737	34.2649	274.119
sm_sub(Dense,Dense)	Dense	float	3000	3000	0.00566199	1.58955	12.7164
sm_sub(Dense,Dense)	Dense	float	4000	4000	0.0132411	1.20836	9.66684
sm_sub(Dense,Dense)	Dense	float	5000	5000	0.0164859	1.51645	12.1316
sm_sub(Dense,Dense)	Dense	float	6000	6000	0.0324203	1.11041	8.88332
sm_sub(Dense,Dense)	Dense	float	7000	7000	0.0447668	1.09456	8.75649
sm_sub(Dense,Dense)	Dense	float	8000	8000	0.0302713	2.11422	16.9137
sm_sub(Dense,Dense)	Dense	float	9000	9000	0.0702517	1.153	9.22397
sm_sub(Dense,Dense)	Dense	float	10000	10000	0.0545899	1.83184	14.6547
sm_sub(Dense,Dense)	Dense	double	1000	1000	6.17101e-05	16.2048	259.277
sm_sub(Dense,Dense)	Dense	double	2000	2000	0.00337985	1.18348	18.9358
sm_sub(Dense,Dense)	Dense	double	3000	3000	0.0148307	0.606848	9.70957
sm_sub(Dense,Dense)	Dense	double	4000	4000	0.010318	1.55069	24.8111
sm_sub(Dense,Dense)	Dense	double	5000	5000	0.043549	0.574066	9.18506
sm_sub(Dense,Dense)	Dense	double	6000	6000	0.0617277	0.583207	9.33131
sm_sub(Dense,Dense)	Dense	double	7000	7000	0.0880871	0.556267	8.90028
sm_sub(Dense,Dense)	Dense	double	8000	8000	0.0793142	0.806918	12.9107
sm_sub(Dense,Dense)	Dense	double	9000	9000	0.0679327	1.19236	19.0777
sm_sub(Dense,Dense)	Dense	double	10000	10000	0.0857811	1.16576	18.6521
