func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
asum	vector	float	1000	0.000243956	0.00409909	0.0163964
asum	vector	float	10000	0.000383537	0.0260731	0.104293
asum	vector	float	100000	0.000383753	0.260584	1.04234
asum	vector	float	1000000	0.000663189	1.50787	6.03147
asum	vector	float	10000000	0.00105045	9.51975	38.079
asum	vector	float	100000000	0.00468407	21.3489	85.3957
asum	vector	double	1000	0.000384626	0.00259993	0.0207994
asum	vector	double	10000	0.000383059	0.0261056	0.208845
asum	vector	double	100000	0.000382381	0.26152	2.09216
asum	vector	double	1000000	0.000839723	1.19087	9.52695
asum	vector	double	10000000	0.00140391	7.12298	56.9838
asum	vector	double	100000000	0.00824709	12.1255	97.0039
