func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
tanh	vector	float	1000	6.0873e-05	0.0164276	0.131421
tanh	vector	float	10000	5.99072e-05	0.166925	1.3354
tanh	vector	float	100000	6.89705e-05	1.4499	11.5992
tanh	vector	float	1000000	0.000194395	5.14418	41.1534
tanh	vector	float	10000000	0.00146996	6.8029	54.4232
tanh	vector	float	100000000	0.0112909	8.85668	70.8534
tanh	vector	double	1000	5.87072e-05	0.0170337	0.272539
tanh	vector	double	10000	6.10615e-05	0.163769	2.62031
tanh	vector	double	100000	0.00015211	0.657421	10.5187
tanh	vector	double	1000000	0.000491526	2.03448	32.5517
tanh	vector	double	10000000	0.00397858	2.51346	40.2153
tanh	vector	double	100000000	0.0384744	2.59913	41.5861
