func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	vector	float	1000	7.02438e-05	0.0284723	0.170834
axpyz	vector	float	10000	6.59813e-06	3.03116	18.187
axpyz	vector	float	100000	9.32617e-06	21.445	128.67
axpyz	vector	float	1000000	4.11079e-05	48.6524	291.914
axpyz	vector	float	10000000	0.00960575	2.08209	12.4925
axpyz	vector	float	100000000	0.0882988	2.26504	13.5902
axpyz	vector	double	1000	8.28117e-06	0.241512	2.89814
axpyz	vector	double	10000	7.11107e-06	2.81252	33.7502
axpyz	vector	double	100000	1.08834e-05	18.3766	220.519
axpyz	vector	double	1000000	7.48289e-05	26.7276	320.732
axpyz	vector	double	10000000	0.0207031	0.966037	11.5924
axpyz	vector	double	100000000	0.091936	2.17543	26.1051
