func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(CRS,CRS,CRS)	CRS	float	10000	10000	0.000356716	4.54142	27.2485
matadd(CRS,CRS,CRS)	CRS	float	20000	20000	0.00060822	5.32702	31.9621
matadd(CRS,CRS,CRS)	CRS	float	30000	30000	0.000801982	6.05999	36.3599
matadd(CRS,CRS,CRS)	CRS	float	40000	40000	0.000970034	6.68018	40.0811
matadd(CRS,CRS,CRS)	CRS	float	50000	50000	0.00114988	7.0442	42.2652
matadd(CRS,CRS,CRS)	CRS	float	60000	60000	0.00139411	6.97218	41.8331
matadd(CRS,CRS,CRS)	CRS	float	70000	70000	0.00161115	7.03843	42.2306
matadd(CRS,CRS,CRS)	CRS	float	80000	80000	0.0017781	7.28869	43.7321
matadd(CRS,CRS,CRS)	CRS	float	90000	90000	0.0019645	7.42173	44.5304
matadd(CRS,CRS,CRS)	CRS	float	100000	100000	0.00218813	7.4036	44.4216
matadd(CRS,CRS,CRS)	CRS	double	10000	10000	0.000611798	2.64793	31.7752
matadd(CRS,CRS,CRS)	CRS	double	20000	20000	0.000978461	3.31132	39.7359
matadd(CRS,CRS,CRS)	CRS	double	30000	30000	0.00141375	3.43768	41.2521
matadd(CRS,CRS,CRS)	CRS	double	40000	40000	0.00178695	3.6263	43.5156
matadd(CRS,CRS,CRS)	CRS	double	50000	50000	0.00217904	3.71723	44.6067
matadd(CRS,CRS,CRS)	CRS	double	60000	60000	0.00260911	3.72541	44.7049
matadd(CRS,CRS,CRS)	CRS	double	70000	70000	0.00301125	3.76587	45.1905
matadd(CRS,CRS,CRS)	CRS	double	80000	80000	0.00334668	3.8725	46.47
matadd(CRS,CRS,CRS)	CRS	double	90000	90000	0.00376381	3.87373	46.4848
matadd(CRS,CRS,CRS)	CRS	double	100000	100000	0.00415154	3.90217	46.826
