func	kind	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	Dense	float	1000	1000	0.0164039	0.121922
matvec(Dense)	Dense	float	2000	2000	0.000684286	11.691
matvec(Dense)	Dense	float	3000	3000	0.000895127	20.1089
matvec(Dense)	Dense	float	4000	4000	0.00121046	26.4362
matvec(Dense)	Dense	float	5000	5000	0.00153677	32.5357
matvec(Dense)	Dense	double	1000	1000	0.000571848	3.49743
matvec(Dense)	Dense	double	2000	2000	0.000850052	9.41119
matvec(Dense)	Dense	double	3000	3000	0.00122194	14.7306
matvec(Dense)	Dense	double	4000	4000	0.00186416	17.1659
matvec(Dense)	Dense	double	5000	5000	0.00249145	20.0687
