func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_add	vector	float	1000	1.63678e-05	0.122191	0.488765
sv_add	vector	float	2000	1.69634e-05	0.235802	0.943207
sv_add	vector	float	4000	2.0283e-05	0.394419	1.57768
sv_add	vector	float	8000	2.32167e-05	0.689159	2.75664
sv_add	vector	float	16000	3.22275e-05	0.992941	3.97176
sv_add	vector	float	32000	5.02997e-05	1.27237	5.08949
sv_add	vector	float	64000	8.33418e-05	1.53584	6.14338
sv_add	vector	float	128000	0.000135844	1.88451	7.53805
sv_add	vector	float	256000	0.000247296	2.07039	8.28156
sv_add	vector	float	512000	0.000486735	2.10381	8.41525
sv_add	vector	float	1024000	0.000883344	2.31846	9.27386
sv_add	vector	float	2048000	0.00163606	2.50357	10.0143
sv_add	vector	float	4096000	0.00472352	1.7343	6.9372
sv_add	vector	float	8192000	0.0156681	1.04569	4.18277
sv_add	vector	float	16384000	0.0448001	0.731427	2.92571
sv_add	vector	float	32768000	0.0807661	0.81143	3.24572
sv_add	vector	float	65536000	0.164756	0.795553	3.18221
sv_add	vector	double	1000	1.77142e-05	0.112904	0.90323
sv_add	vector	double	2000	1.84988e-05	0.21623	1.72984
sv_add	vector	double	4000	2.13195e-05	0.375243	3.00195
sv_add	vector	double	8000	2.95785e-05	0.540933	4.32747
sv_add	vector	double	16000	4.42997e-05	0.722353	5.77882
sv_add	vector	double	32000	7.10062e-05	0.90133	7.21064
sv_add	vector	double	64000	0.00387414	0.0330396	0.264317
sv_add	vector	double	128000	0.000203366	1.25881	10.0705
sv_add	vector	double	256000	0.00036161	1.41589	11.3271
sv_add	vector	double	512000	0.000672141	1.52349	12.1879
sv_add	vector	double	1024000	0.00132513	1.54551	12.3641
sv_add	vector	double	2048000	0.00439956	0.931003	7.44802
sv_add	vector	double	4096000	0.0150444	0.544523	4.35618
sv_add	vector	double	8192000	0.0428076	0.382735	3.06188
sv_add	vector	double	16384000	0.0937194	0.34964	2.79712
sv_add	vector	double	32768000	0.160858	0.407415	3.25932
sv_add	vector	double	65536000	0.304796	0.430031	3.44025
