func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpy	vector	float	1000	2.848e-07	7.02247	42.1348
axpy	vector	float	2000	3.7e-07	10.8108	64.8649
axpy	vector	float	4000	7.399e-07	10.8123	64.8736
axpy	vector	float	8000	1.9539e-06	8.18875	49.1325
axpy	vector	float	16000	1.02744e-05	3.11454	18.6872
axpy	vector	float	32000	9.4787e-06	6.75198	40.5119
axpy	vector	float	64000	9.1926e-06	13.9242	83.5455
axpy	vector	float	128000	9.842e-06	26.011	156.066
axpy	vector	float	256000	1.24964e-05	40.9718	245.831
axpy	vector	float	512000	1.70486e-05	60.0636	360.381
axpy	vector	float	1024000	3.42024e-05	59.8788	359.273
axpy	vector	float	2048000	6.0721e-05	67.4561	404.736
axpy	vector	float	4096000	0.000117551	69.6891	418.135
axpy	vector	float	8192000	0.00168436	9.72716	58.3629
axpy	vector	double	1000	4.432e-07	4.51264	54.1516
axpy	vector	double	2000	7.303e-07	5.4772	65.7264
axpy	vector	double	4000	2.215e-06	3.61174	43.3409
axpy	vector	double	8000	7.7421e-06	2.06662	24.7995
axpy	vector	double	16000	9.5337e-06	3.35651	40.2782
axpy	vector	double	32000	1.00515e-05	6.36721	76.4065
axpy	vector	double	64000	1.15734e-05	11.0598	132.718
axpy	vector	double	128000	1.33448e-05	19.1835	230.202
axpy	vector	double	256000	2.72964e-05	18.7571	225.085
axpy	vector	double	512000	3.56173e-05	28.7501	345.001
axpy	vector	double	1024000	6.41467e-05	31.9268	383.122
axpy	vector	double	2048000	0.000166246	24.6381	295.658
axpy	vector	double	4096000	0.00528724	1.54939	18.5927
axpy	vector	double	8192000	0.0141889	1.15471	13.8565
