func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	vector	float	1000	7.5695e-06	0.264218	1.58531
axpyz	vector	float	2000	7.1605e-06	0.55862	3.35172
axpyz	vector	float	4000	6.9682e-06	1.14807	6.88844
axpyz	vector	float	8000	7.1697e-06	2.23161	13.3897
axpyz	vector	float	16000	7.5672e-06	4.22878	25.3727
axpyz	vector	float	32000	7.8116e-06	8.19294	49.1577
axpyz	vector	float	64000	9.0584e-06	14.1305	84.7832
axpyz	vector	float	128000	9.4306e-06	27.1457	162.874
axpyz	vector	float	256000	1.2275e-05	41.7108	250.265
axpyz	vector	float	512000	2.16597e-05	47.2767	283.66
axpyz	vector	float	1024000	4.15319e-05	49.3115	295.869
axpyz	vector	float	2048000	7.75732e-05	52.8017	316.81
axpyz	vector	float	4096000	0.00244405	3.35181	20.1108
axpyz	vector	float	8192000	0.0064355	2.54588	15.2753
axpyz	vector	double	1000	7.3112e-06	0.273553	3.28263
axpyz	vector	double	2000	7.1487e-06	0.559542	6.71451
axpyz	vector	double	4000	7.4286e-06	1.07692	12.923
axpyz	vector	double	8000	7.658e-06	2.08932	25.0718
axpyz	vector	double	16000	7.5582e-06	4.23381	50.8057
axpyz	vector	double	32000	8.7098e-06	7.34804	88.1765
axpyz	vector	double	64000	1.01894e-05	12.5621	150.745
axpyz	vector	double	128000	1.30098e-05	19.6775	236.13
axpyz	vector	double	256000	2.30644e-05	22.1987	266.385
axpyz	vector	double	512000	4.27362e-05	23.961	287.531
axpyz	vector	double	1024000	7.87446e-05	26.0081	312.098
axpyz	vector	double	2048000	0.00236637	1.73092	20.7711
axpyz	vector	double	4096000	0.00941544	0.87006	10.4407
axpyz	vector	double	8192000	0.0096858	1.69155	20.2986
