func	kind	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	Dense	float	1000	1000	0.0161624	0.123744
matvec(Dense)	Dense	float	2000	2000	0.000680976	11.7479
matvec(Dense)	Dense	float	3000	3000	0.000906781	19.8504
matvec(Dense)	Dense	float	4000	4000	0.00120658	26.5213
matvec(Dense)	Dense	float	5000	5000	0.00149678	33.405
matvec(Dense)	Dense	double	1000	1000	0.000574811	3.47941
matvec(Dense)	Dense	double	2000	2000	0.000839348	9.53121
matvec(Dense)	Dense	double	3000	3000	0.00121201	14.8514
matvec(Dense)	Dense	double	4000	4000	0.00184294	17.3635
matvec(Dense)	Dense	double	5000	5000	0.00250732	19.9416
