func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	Dense	float	1000	1000	0.00229171	0.436355	3.49084
mscal(Dense)	Dense	float	2000	2000	0.00604033	0.662216	5.29773
mscal(Dense)	Dense	float	3000	3000	0.0118065	0.762291	6.09833
mscal(Dense)	Dense	float	4000	4000	0.0185058	0.864594	6.91675
mscal(Dense)	Dense	float	5000	5000	0.0266333	0.938673	7.50939
mscal(Dense)	Dense	double	1000	1000	0.00213569	0.468232	7.49171
mscal(Dense)	Dense	double	2000	2000	0.00609616	0.656151	10.4984
mscal(Dense)	Dense	double	3000	3000	0.0127985	0.703208	11.2513
mscal(Dense)	Dense	double	4000	4000	0.0220912	0.72427	11.5883
mscal(Dense)	Dense	double	5000	5000	0.0342304	0.730345	11.6855
