func	kind	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(Dense)	Dense	float	1000	1000	0.017393	0.114989
mv_mul(Dense)	Dense	float	2000	2000	0.00158725	5.04015
mv_mul(Dense)	Dense	float	3000	3000	0.00180722	9.96005
mv_mul(Dense)	Dense	float	4000	4000	0.00204309	15.6626
mv_mul(Dense)	Dense	float	5000	5000	0.00235198	21.2587
mv_mul(Dense)	Dense	double	1000	1000	0.00134429	1.48777
mv_mul(Dense)	Dense	double	2000	2000	0.00162165	4.93325
mv_mul(Dense)	Dense	double	3000	3000	0.00197884	9.09624
mv_mul(Dense)	Dense	double	4000	4000	0.00252969	12.6498
mv_mul(Dense)	Dense	double	5000	5000	0.00330504	15.1284
